eftp,ctl,atl,date
,0.0,0.0,2023-02-14
,0.0,0.0,2023-02-15
,2.4940012,14.110943,2023-02-16
,2.4353216,12.232465,2023-02-17
,3.38974,16.328304,2023-02-18
,3.3099852,17.083332,2023-02-19
,3.2321067,17.870972,2023-02-20
,6.026515,31.732847,2023-02-21
,5.8847213,27.508505,2023-02-22
,5.7462635,23.846516,2023-02-23
,5.6110635,20.672018,2023-02-24
,5.4790444,17.920116,2023-02-25
,5.350132,15.534553,2023-02-26
,6.7300644,21.986374,2023-02-27
,6.5717173,19.059502,2023-02-28
,9.216965,32.363792,2023-03-01
,9.000105,28.055456,2023-03-02
,8.788347,24.320656,2023-03-03
,12.604914,43.84692,2023-03-04
,12.308341,38.009926,2023-03-05
,12.018746,32.949966,2023-03-06
,14.18291,42.408295,2023-03-07
,13.84921,36.762814,2023-03-08
,15.829136,44.914837,2023-03-09
,15.456703,38.93568,2023-03-10
,17.563505,47.7303,2023-03-11
,17.150265,41.376343,2023-03-12
,19.123108,49.31357,2023-03-13
,18.673174,42.748844,2023-03-14
,20.233732,48.373405,2023-03-15
,21.851686,53.781704,2023-03-16
,21.337553,46.62217,2023-03-17
,25.211782,65.17644,2023-03-18
,24.618591,56.50001,2023-03-19
,24.039358,48.97861,2023-03-20
,25.920696,56.303173,2023-03-21
,25.310825,48.807976,2023-03-22
,27.138721,56.022133,2023-03-23
,26.500193,48.56435,2023-03-24
,25.876688,42.09936,2023-03-25
,25.267853,36.495007,2023-03-26
,24.673344,31.636715,2023-03-27
,24.092821,27.425169,2023-03-28
,23.525957,23.774273,2023-03-29
,22.972431,20.609392,2023-03-30
,22.431929,17.865826,2023-03-31
,21.904142,15.48749,2023-04-01
,21.388775,13.425762,2023-04-02
,22.556044,21.090166,2023-04-03
,22.025337,18.282598,2023-04-04
,21.507118,15.848781,2023-04-05
,22.01281,19.463207,2023-04-06
,21.494886,16.872225,2023-04-07
,23.106697,26.607147,2023-04-08
,22.563036,23.065147,2023-04-09
,22.032166,19.994667,2023-04-10
,22.972542,25.586506,2023-04-11
,22.432037,22.180376,2023-04-12
,24.68059,34.936085,2023-04-13
,24.099897,30.28532,2023-04-14
,23.532867,26.253675,2023-04-15
,22.97918,22.758732,2023-04-16
,24.556067,31.710032,2023-04-17
,23.978304,27.488726,2023-04-18
,25.414042,35.14475,2023-04-19
,24.816092,30.466206,2023-04-20
,24.23221,26.41048,2023-04-21
,23.662067,22.89466,2023-04-22
,23.10534,19.846876,2023-04-23
,22.561708,17.204819,2023-04-24
,23.466097,23.034925,2023-04-25
,22.913979,19.968468,2023-04-26
,22.374851,17.310223,2023-04-27
,21.84841,15.00585,2023-04-28
,21.334352,13.00824,2023-04-29
,20.832392,11.276556,2023-04-30
,20.342241,9.775397,2023-05-01
,19.863623,8.474076,2023-05-02
,21.631454,19.992588,2023-05-03
,21.122503,17.331133,2023-05-04
,20.625526,15.023976,2023-05-05
,20.140244,13.023953,2023-05-06
,19.666378,11.290177,2023-05-07
,19.203661,9.787206,2023-05-08
,20.516455,18.46847,2023-05-09
,20.033737,16.009909,2023-05-10
,19.562378,13.878636,2023-05-11
,19.102108,12.031083,2023-05-12
,18.652668,10.42948,2023-05-13
,18.213802,9.041085,2023-05-14
,17.785263,7.837517,2023-05-15
,17.366806,6.79417,2023-05-16
,16.958195,5.8897157,2023-05-17
,16.559196,5.1056643,2023-05-18
,16.169586,4.4259877,2023-05-19
,15.789144,3.836791,2023-05-20
,15.417651,3.3260293,2023-05-21
,15.0549,2.8832612,2023-05-22
,14.700684,2.4994354,2023-05-23
,14.354801,2.1667054,2023-05-24
,14.017056,1.878269,2023-05-25
,13.687259,1.6282299,2023-05-26
,13.365221,1.4114765,2023-05-27
,13.05076,1.2235777,2023-05-28
,12.743698,1.0606925,2023-05-29
,12.44386,0.91949093,2023-05-30
,13.492191,8.385046,2023-05-31
,13.174743,7.268811,2023-06-01
,12.864763,6.301172,2023-06-02
,13.456153,10.520987,2023-06-03
,13.139552,9.120411,2023-06-04
,14.712666,18.556051,2023-06-05
,14.366502,16.08583,2023-06-06
,14.028482,13.944451,2023-06-07
,13.698416,12.088137,2023-06-08
,15.423079,22.060562,2023-06-09
,15.0602,19.123814,2023-06-10
,14.705858,16.57801,2023-06-11
,14.359854,14.371111,2023-06-12
,14.021991,12.990487,2023-06-13
,13.692077,11.261167,2023-06-14
,14.805152,17.882505,2023-06-15
,14.456812,15.501948,2023-06-16
,14.116668,13.438296,2023-06-17
,13.784527,11.649363,2023-06-18
,13.4602,10.098575,2023-06-19
,13.143504,8.754231,2023-06-20
,15.116506,20.501694,2023-06-21
,14.760839,17.772465,2023-06-22
,14.413542,15.406557,2023-06-23
,14.074415,13.355604,2023-06-24
,13.743268,11.577678,2023-06-25
,13.419912,10.036433,2023-06-26
,13.104164,8.700362,2023-06-27
,12.795845,7.542152,2023-06-28
,12.494781,6.538125,2023-06-29
,12.200799,5.667756,2023-06-30
,11.913734,4.9132524,2023-07-01
,11.633425,4.25919,2023-07-02
,11.35971,3.6921978,2023-07-03
,11.092435,3.2006848,2023-07-04
,10.831449,2.774603,2023-07-05
,10.576603,2.405242,2023-07-06
,10.327753,2.085051,2023-07-07
,10.084759,1.8074846,2023-07-08
,9.847482,1.5668684,2023-07-09
,9.6157875,1.3582836,2023-07-10
,9.3895445,1.177466,2023-07-11
,9.168624,1.0207193,2023-07-12
,8.952902,0.884839,2023-07-13
,8.742255,0.76704735,2023-07-14
,8.536565,0.66493636,2023-07-15
,8.335713,0.57641864,2023-07-16
,8.139588,0.49968457,2023-07-17
,7.9480777,0.43316552,2023-07-18
,7.7610726,0.3755016,2023-07-19
,7.578468,0.32551405,2023-07-20
,7.4001594,0.28218094,2023-07-21
,7.226046,0.24461642,2023-07-22
,7.0560293,0.21205257,2023-07-23
,6.8900127,0.18382369,2023-07-24
,6.7279024,0.15935269,2023-07-25
,6.5696063,0.13813932,2023-07-26
,6.415035,0.119749926,2023-07-27
,6.2640996,0.10380857,2023-07-28
,6.116716,0.08998935,2023-07-29
,5.9728,0.07800978,2023-07-30
,5.8322697,0.06762495,2023-07-31
,5.6950464,0.058622573,2023-08-01
,5.5610514,0.05081861,2023-08-02
,5.430209,0.044053532,2023-08-03
,5.3024454,0.038189035,2023-08-04
,5.1776876,0.03310523,2023-08-05
,5.0558653,0.028698193,2023-08-06
,4.936909,0.02487783,2023-08-07
,4.820752,0.02156604,2023-08-08
,4.707328,0.018695123,2023-08-09
,4.5965724,0.01620639,2023-08-10
,4.488423,0.014048961,2023-08-11
,4.3828177,0.012178734,2023-08-12
,4.2796974,0.0105574755,2023-08-13
,4.1790032,0.009152042,2023-08-14
,4.0806785,0.007933702,2023-08-15
,3.984667,0.0068775513,2023-08-16
,3.8909147,0.0059619974,2023-08-17
,3.799368,0.005168324,2023-08-18
,3.7099752,0.0044803056,2023-08-19
,3.6226857,0.003883878,2023-08-20
,3.53745,0.003366848,2023-08-21
,3.4542198,0.0029186462,2023-08-22
,3.372948,0.0025301098,2023-08-23
,3.2935882,0.0021932963,2023-08-24
,3.2160957,0.0019013201,2023-08-25
,3.1404264,0.0016482123,2023-08-26
,3.0665374,0.0014287989,2023-08-27
,2.994387,0.0012385942,2023-08-28
,2.923934,0.0010737099,2023-08-29
,2.8551388,0.0009307754,2023-08-30
,2.7879622,0.00080686866,2023-08-31
,2.722366,0.0006994566,2023-09-01
,3.4347477,4.3936357,2023-09-02
,3.3539338,3.8087456,2023-09-03
,3.2750213,3.3017175,2023-09-04
,3.1979656,2.862186,2023-09-05
,3.1227229,2.4811656,2023-09-06
,3.0492504,2.1508677,2023-09-07
,4.059809,7.9881563,2023-09-08
,3.9642887,6.924756,2023-09-09
,3.8710158,6.002918,2023-09-10
,3.7799373,5.203797,2023-09-11
,3.6910017,4.5110564,2023-09-12
,3.6041586,3.910535,2023-09-13
,3.5193589,3.3899565,2023-09-14
,3.4365542,2.9386783,2023-09-15
,3.3556979,2.5474753,2023-09-16
,3.276744,2.2083502,2023-09-17
,3.1996477,1.91437,2023-09-18
,3.1243653,1.659525,2023-09-19
,3.0508542,1.4386055,2023-09-20
,3.9907901,6.971346,2023-09-21
,3.8968935,6.043306,2023-09-22
,3.805206,5.238808,2023-09-23
,3.715676,4.541407,2023-09-24
,3.6282525,3.9368455,2023-09-25
,3.5428858,3.4127643,2023-09-26
,3.4595277,2.9584498,2023-09-27
,3.378131,2.5646148,2023-09-28
,3.298649,2.223208,2023-09-29
,3.2210374,1.9272498,2023-09-30
,3.1452518,1.6706903,2023-10-01
,3.0712492,1.4482845,2023-10-02
,4.293045,8.577201,2023-10-03
,4.192037,7.4353857,2023-10-04
,4.0934057,6.4455714,2023-10-05
,3.9970949,5.5875235,2023-10-06
,3.90305,4.8437004,2023-10-07
,3.8112178,4.198897,2023-10-08
,5.2508864,12.292868,2023-10-09
,5.1273417,10.656415,2023-10-10
,5.006704,9.237811,2023-10-11
,4.8889046,8.008055,2023-10-12
,4.7738767,6.9420056,2023-10-13
,4.6615553,6.0178714,2023-10-14
,4.5518765,5.2167597,2023-10-15
,6.0211754,13.441474,2023-10-16
,5.879507,11.652117,2023-10-17
,5.7411723,10.100963,2023-10-18
,5.606092,8.756301,2023-10-19
,5.47419,7.590644,2023-10-20
,7.0629587,16.298075,2023-10-21
,6.896779,14.128441,2023-10-22
,6.7345095,12.247633,2023-10-23
,6.576058,10.617203,2023-10-24
,7.974203,17.989878,2023-10-25
,7.7865834,15.595027,2023-10-26
,7.6033783,13.518984,2023-10-27
,9.847899,25.430885,2023-10-28
,9.616195,22.045473,2023-10-29
,9.389942,19.110733,2023-10-30
,9.169013,16.566671,2023-10-31
,11.6355095,29.5372,2023-11-01
,11.361746,25.605146,2023-11-02
,11.094423,22.196535,2023-11-03
,10.83339,19.241686,2023-11-04
,10.578499,16.680193,2023-11-05
,10.329604,14.459691,2023-11-06
,12.110001,23.983288,2023-11-07
,11.825072,20.790583,2023-11-08
,11.546848,18.022896,2023-11-09
,11.27517,15.62365,2023-11-10
,11.009885,13.543797,2023-11-11
,15.456504,38.36524,2023-11-12
,15.092838,33.257977,2023-11-13
,16.055315,36.285442,2023-11-14
,15.677561,31.455048,2023-11-15
,15.308694,27.267685,2023-11-16
,14.948506,23.637753,2023-11-17
,14.596793,20.491045,2023-11-18
,14.253355,17.763233,2023-11-19
,13.917997,15.398554,2023-11-20
,13.59053,13.348666,2023-11-21
,13.270768,11.571664,2023-11-22
,12.958529,10.0312195,2023-11-23
,12.653637,8.695843,2023-11-24
,12.355918,9.135699,2023-11-25
,12.065204,7.9195356,2023-11-26
,11.78133,6.8652706,2023-11-27
,11.504135,5.951351,2023-11-28
,13.186313,16.20823,2023-11-29
,12.876061,14.050555,2023-11-30
,12.57311,12.180116,2023-12-01
,14.935985,25.60147,2023-12-02
,14.584566,22.19335,2023-12-03
,14.241416,21.235756,2023-12-04
,16.517982,33.18536,2023-12-05
,16.129343,28.767654,2023-12-06
,15.749846,24.938044,2023-12-07
,15.379279,21.618238,2023-12-08
,15.01743,18.740374,2023-12-09
,14.664096,16.245615,2023-12-10
,14.319075,14.082965,2023-12-11
,13.982171,12.208211,2023-12-12
,16.07661,24.294605,2023-12-13
,15.698355,21.060457,2023-12-14
,15.328999,18.256845,2023-12-15
,17.81526,31.93423,2023-12-16
,17.396097,27.683079,2023-12-17
,19.174929,36.378204,2023-12-18
,18.723776,31.535461,2023-12-19
,18.283237,27.337395,2023-12-20
,20.511763,38.740982,2023-12-21
,20.029156,33.583702,2023-12-22
,19.557903,29.112968,2023-12-23
,19.097738,25.237389,2023-12-24
,18.648401,21.877735,2023-12-25
,18.209637,18.965324,2023-12-26
,17.781195,16.44062,2023-12-27
,17.362833,14.25201,2023-12-28
,16.954315,12.354753,2023-12-29
,16.555408,10.710062,2023-12-30
,16.165888,9.284316,2023-12-31
,15.785532,8.048368,2024-01-01
,15.414125,6.9769526,2024-01-02
,15.051457,6.048166,2024-01-03
,14.697322,5.2430215,2024-01-04
,14.351519,4.5450597,2024-01-05
,16.649023,18.849688,2024-01-06
,16.2573,16.340378,2024-01-07
,15.874793,14.1651125,2024-01-08
,15.501286,12.279423,2024-01-09
,15.136566,10.64476,2024-01-10
,14.780428,9.227707,2024-01-11
,15.797312,15.720377,2024-01-12
,15.425628,13.627647,2024-01-13
,16.803783,21.664541,2024-01-14
,16.408419,18.780512,2024-01-15
214.0,17.622282,25.332714,2024-01-16
214.0,19.042868,32.343895,2024-01-17
214.0,18.594822,28.038208,2024-01-18
214.0,18.157316,24.305702,2024-01-19
214.0,20.059408,34.249165,2024-01-20
214.0,19.587444,29.689844,2024-01-21
214.0,21.644114,39.981533,2024-01-22
214.0,21.134865,34.659107,2024-01-23
214.0,22.990429,43.357426,2024-01-24
214.0,22.449503,37.585594,2024-01-25
214.0,21.921305,32.582123,2024-01-26
214.0,21.405533,28.244722,2024-01-27
214.0,20.901897,24.484726,2024-01-28
214.0,22.527658,33.206257,2024-01-29
214.0,21.997622,28.78577,2024-01-30
213.786,22.868225,32.807953,2024-01-31
213.57222,22.330173,28.440489,2024-02-01
213.57222,23.287066,33.041122,2024-02-02
213.57222,25.091991,41.95483,2024-02-03
213.57222,24.50162,36.369717,2024-02-04
213.57222,25.407421,39.914795,2024-02-05
213.57222,26.244854,42.721703,2024-02-06
213.57222,25.627357,37.0345,2024-02-07
213.57222,25.02439,32.10439,2024-02-08
213.57222,24.435608,27.830585,2024-02-09
213.57222,27.013474,41.96408,2024-02-10
213.57222,26.377892,36.377735,2024-02-11
213.57222,27.380718,40.720478,2024-02-12
213.57222,28.618761,45.94945,2024-02-13
213.57222,27.94541,39.832565,2024-02-14
213.57222,27.2879,34.529972,2024-02-15
213.57222,26.645863,29.93327,2024-02-16
213.35866,26.01893,25.94849,2024-02-17
213.14531,25.40675,22.494173,2024-02-18
212.93216,26.950048,31.613813,2024-02-19
212.71922,27.98647,36.856987,2024-02-20
212.5065,27.327995,31.950508,2024-02-21
212.29399,26.685013,27.69719,2024-02-22
212.29399,27.774727,33.727993,2024-02-23
212.29399,27.121235,29.238052,2024-02-24
214.0,30.529987,48.242825,2024-02-25
214.0,29.811668,41.820637,2024-02-26
214.0,30.733704,45.438812,2024-02-27
214.0,30.010592,39.389904,2024-02-28
214.0,29.304493,34.146236,2024-02-29
214.0,30.426687,39.85102,2024-03-01
214.0,29.710798,34.54597,2024-03-02
213.786,29.011753,29.947138,2024-03-03
213.57222,28.329155,25.960512,2024-03-04
213.35866,29.638996,33.68685,2024-03-05
213.35866,31.106245,41.44962,2024-03-06
213.35866,30.374367,35.93176,2024-03-07
213.14531,29.65971,31.148447,2024-03-08
212.93216,28.961866,27.0019,2024-03-09
221.0,32.139088,45.239376,2024-03-10
221.0,33.359287,50.399273,2024-03-11
221.0,32.574398,43.690018,2024-03-12
221.0,34.019638,50.387386,2024-03-13
221.0,33.21921,43.67971,2024-03-14
221.0,32.43762,37.864975,2024-03-15
221.0,31.674416,32.82431,2024-03-16
220.779,30.92917,28.45467,2024-03-17
220.55823,32.342537,36.780834,2024-03-18
220.33768,31.581572,31.884493,2024-03-19
220.11734,30.83851,27.639963,2024-03-20
219.89723,30.112932,23.960474,2024-03-21
219.67734,29.404427,20.770805,2024-03-22
219.45766,28.71259,18.005753,2024-03-23
219.2382,28.037031,15.6087885,2024-03-24
219.01897,27.377367,13.530913,2024-03-25
218.79996,26.733223,11.72965,2024-03-26
218.58116,26.104235,10.168174,2024-03-27
218.36258,25.490046,8.814565,2024-03-28
218.14423,24.890308,7.6411514,2024-03-29
217.92609,24.304682,6.623945,2024-03-30
217.70816,23.732834,5.7421517,2024-03-31
217.49045,24.727308,13.7638035,2024-04-01
217.27296,26.05131,22.714428,2024-04-02
217.0557,25.438366,19.690636,2024-04-03
217.0557,27.498543,32.112175,2024-04-04
217.0557,26.85155,27.837336,2024-04-05
222.0,28.760836,38.50876,2024-04-06
222.0,28.08414,33.382393,2024-04-07
222.0,27.423368,28.93846,2024-04-08
222.0,29.88388,42.65823,2024-04-09
222.0,29.180763,36.979477,2024-04-10
222.0,30.98819,46.167633,2024-04-11
222.0,30.25909,40.0217,2024-04-12
222.0,29.547146,34.693928,2024-04-13
222.0,28.851952,30.0754,2024-04-14
222.0,28.173115,26.0717,2024-04-15
221.778,27.510248,22.600979,2024-04-16
221.55623,26.862978,19.592289,2024-04-17
221.33467,28.466127,29.630722,2024-04-18
221.11334,27.796368,25.686218,2024-04-19
220.89223,27.142366,22.266815,2024-04-20
220.67134,26.503752,19.30261,2024-04-21
220.67134,28.632977,32.308292,2024-04-22
220.67134,27.959291,28.007345,2024-04-23
